odor,gill-spacing,gill-size,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,population,habitat,poisonous
110,99,110,112,115,115,119,119,119,118,117,101
108,99,98,110,115,115,119,119,119,115,103,101
108,99,98,119,115,121,119,119,119,121,103,101
112,99,110,119,115,115,119,119,119,115,103,112
97,99,98,103,115,115,119,119,119,110,109,101
97,99,98,119,115,115,119,119,119,115,109,101
108,99,98,107,115,115,119,119,119,110,103,101
97,99,98,110,115,121,119,119,119,121,103,101
97,99,98,119,115,121,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,115,109,101
110,99,110,103,115,115,119,119,119,118,117,101
110,99,110,110,115,115,119,119,119,121,117,101
110,99,110,110,115,115,119,119,119,118,117,101
97,99,98,110,115,115,119,119,119,110,109,101
112,99,110,107,115,115,119,119,119,115,117,112
110,119,98,104,115,102,119,119,119,115,103,101
108,99,98,103,115,115,119,119,119,115,103,101
112,99,110,107,115,115,119,119,119,115,103,112
97,99,98,103,115,115,119,119,119,110,109,101
112,99,110,112,115,115,119,119,119,118,117,112
108,99,98,110,115,115,119,119,119,110,109,101
108,99,98,103,115,115,119,119,119,115,109,101
112,99,110,112,115,115,119,119,119,115,103,112
112,99,110,110,115,115,119,119,119,115,117,112
110,119,98,110,115,102,119,119,119,97,103,101
108,99,98,119,115,121,119,119,119,121,103,101
110,119,98,107,102,102,119,119,119,97,103,101
108,99,98,110,115,121,119,119,119,115,112,101
108,99,98,119,115,115,119,119,119,115,109,101
97,99,98,110,115,115,119,119,119,110,103,101
110,119,98,110,115,102,119,119,119,115,103,101
97,99,98,110,115,121,119,119,119,121,103,101
108,99,98,119,115,115,119,119,119,115,109,101
110,99,110,110,115,115,119,119,119,118,117,101
110,119,98,104,102,115,119,119,119,97,103,101
110,119,98,110,115,102,119,119,119,115,103,101
110,119,98,112,115,102,119,119,119,97,103,101
112,99,110,107,115,115,119,119,119,115,117,112
108,99,98,112,115,121,119,119,119,115,103,101
108,99,98,103,115,115,119,119,119,115,103,101
110,119,98,112,115,115,119,119,119,97,103,101
108,99,98,103,115,115,119,119,119,115,103,101
97,99,98,110,115,115,119,119,119,110,109,101
110,99,110,110,115,115,119,119,119,121,117,101
108,99,98,112,115,121,119,119,119,115,103,101
108,99,98,119,115,115,119,119,119,110,103,101
108,119,110,110,115,115,119,119,119,118,100,101
97,99,98,110,115,121,119,119,119,115,112,101
110,99,110,112,115,115,119,119,119,121,117,101
108,99,98,103,115,115,119,119,119,115,109,101
108,119,110,119,115,115,119,119,119,118,100,101
110,99,110,112,115,115,119,119,119,121,117,101
97,99,98,103,115,115,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,103,101
110,119,98,110,115,115,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,109,101
110,99,98,110,115,115,119,103,119,118,100,101
108,99,98,110,115,121,119,119,119,115,103,101
97,99,98,112,115,121,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,115,109,101
97,99,98,112,115,121,119,119,119,115,103,101
108,99,98,110,115,115,119,119,119,110,109,101
110,119,98,104,115,115,119,119,119,115,103,101
97,99,98,103,115,115,119,119,119,115,109,101
108,99,98,119,115,115,119,119,119,110,109,101
97,99,98,110,115,121,119,119,119,121,103,101
108,99,98,119,115,121,119,119,119,115,112,101
97,99,98,119,115,121,119,119,119,121,103,101
108,99,98,110,115,121,119,119,119,115,112,101
108,119,110,110,115,115,119,119,119,118,100,101
97,99,98,103,115,115,119,119,119,115,109,101
108,99,98,107,115,115,119,119,119,110,109,101
97,99,98,110,115,115,119,119,119,115,103,101
108,119,110,112,115,115,119,119,119,118,100,101
97,99,98,110,115,115,119,119,119,115,103,101
108,99,98,110,115,115,119,119,119,110,109,101
97,99,98,119,115,121,119,119,119,121,103,101
112,99,110,119,115,115,119,119,119,115,103,112
112,99,110,119,115,115,119,119,119,118,117,112
108,99,98,103,115,115,119,119,119,115,103,101
110,119,98,107,115,115,119,119,119,115,103,101
97,99,98,103,115,115,119,119,119,110,103,101
108,99,98,119,115,121,119,119,119,121,112,101
110,99,110,107,115,115,119,119,119,121,117,101
97,99,98,110,115,115,119,119,119,115,103,101
108,99,98,107,115,115,119,119,119,115,109,101
112,99,110,110,115,115,119,119,119,115,103,112
112,99,110,107,115,115,119,119,119,115,103,112
108,99,98,103,115,115,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,110,109,101
97,99,98,119,115,121,119,119,119,115,103,101
108,99,98,112,115,121,119,119,119,121,103,101
108,99,98,110,115,121,119,119,119,121,112,101
97,99,98,119,115,115,119,119,119,110,103,101
97,99,98,107,115,115,119,119,119,115,103,101
110,99,110,112,115,115,119,119,119,118,117,101
110,119,98,112,115,115,119,119,119,97,103,101
108,119,110,119,115,115,119,119,119,118,100,101
108,99,98,119,115,121,119,119,119,115,112,101
110,99,110,103,115,115,119,119,119,121,117,101
110,99,110,107,115,115,119,119,119,118,117,101
108,99,98,110,115,121,119,119,119,121,103,101
108,99,98,119,115,121,119,119,119,121,112,101
97,99,98,103,115,115,119,119,119,115,109,101
108,119,110,110,115,115,119,119,119,118,100,101
97,99,98,110,115,115,119,119,119,110,109,101
97,119,110,119,115,115,119,119,119,118,100,101
97,99,98,119,115,115,119,119,119,110,103,101
110,99,98,112,115,115,112,119,119,118,100,101
97,99,98,103,115,115,119,119,119,110,109,101
110,99,110,107,115,115,119,119,119,118,117,101
97,99,98,110,115,115,119,119,119,115,109,101
108,99,98,119,115,115,119,119,119,110,109,101
97,99,98,107,115,115,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,115,103,101
108,99,98,107,115,115,119,119,119,115,103,101
97,99,98,112,115,121,119,119,119,115,112,101
110,119,98,107,102,115,119,119,119,97,103,101
112,99,110,112,115,115,119,119,119,115,103,112
97,99,98,110,115,115,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,115,109,101
112,99,110,119,115,115,119,119,119,118,103,112
112,99,110,112,115,115,119,119,119,118,117,112
110,119,98,110,102,115,119,119,119,97,103,101
112,99,110,119,115,115,119,119,119,115,103,112
110,119,98,104,115,102,119,119,119,97,103,101
108,99,98,110,115,121,119,119,119,115,112,101
108,99,98,107,115,115,119,119,119,110,109,101
108,99,98,112,115,121,119,119,119,115,112,101
108,99,98,112,115,121,119,119,119,121,112,101
108,99,98,107,115,115,119,119,119,110,109,101
110,99,110,112,115,115,119,119,119,121,117,101
97,99,98,107,115,115,119,119,119,110,109,101
97,99,98,103,115,115,119,119,119,110,109,101
97,99,98,119,115,121,119,119,119,115,112,101
110,119,98,112,102,102,119,119,119,97,103,101
108,99,98,119,115,115,119,119,119,115,109,101
108,99,98,119,115,115,119,119,119,110,103,101
108,99,98,107,115,115,119,119,119,115,103,101
97,99,98,110,115,115,119,119,119,115,109,101
108,99,98,107,115,115,119,119,119,115,109,101
97,99,98,110,115,121,119,119,119,115,112,101
97,99,98,110,115,121,119,119,119,115,103,101
110,99,110,103,115,115,119,119,119,118,117,101
97,99,98,110,115,121,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,103,101
108,119,110,119,115,115,119,119,119,118,100,101
110,119,98,112,115,115,119,119,119,97,103,101
97,99,98,110,115,121,119,119,119,115,103,101
112,99,110,107,115,115,119,119,119,118,103,112
108,99,98,119,115,115,119,119,119,110,103,101
110,119,98,104,102,115,119,119,119,115,103,101
97,99,98,110,115,115,119,119,119,115,109,101
108,99,98,119,115,115,119,119,119,115,109,101
108,99,98,119,115,121,119,119,119,121,103,101
110,119,98,110,102,115,119,119,119,115,103,101
112,99,110,107,115,115,119,119,119,115,103,112
112,99,110,112,115,115,119,119,119,115,117,112
108,99,98,103,115,115,119,119,119,110,103,101
97,99,98,119,115,115,119,119,119,115,103,101
97,119,110,119,115,115,119,119,119,118,100,101
112,99,110,119,115,115,119,119,119,115,117,112
108,99,98,103,115,115,119,119,119,115,103,101
110,99,110,112,115,115,119,119,119,118,117,101
110,99,110,112,115,115,119,119,119,118,117,101
97,99,98,110,115,115,119,119,119,115,109,101
97,99,98,112,115,121,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,109,101
108,99,98,110,115,121,119,119,119,115,112,101
108,99,98,110,115,115,119,119,119,110,103,101
108,99,98,119,115,115,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,115,109,101
112,99,110,119,115,115,119,119,119,118,117,112
97,119,110,110,115,115,119,119,119,118,100,101
97,99,98,110,115,121,119,119,119,115,112,101
108,99,98,107,115,115,119,119,119,110,103,101
97,119,110,110,115,115,119,119,119,118,100,101
108,99,98,119,115,115,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,109,101
97,99,98,110,115,115,119,119,119,110,103,101
108,99,98,110,115,121,119,119,119,121,103,101
110,119,98,110,102,102,119,119,119,97,103,101
97,99,98,119,115,115,119,119,119,110,109,101
97,99,98,110,115,121,119,119,119,121,112,101
108,99,98,103,115,115,119,119,119,110,103,101
108,99,98,112,115,121,119,119,119,121,103,101
108,99,98,103,115,115,119,119,119,110,103,101
110,99,110,103,115,115,119,119,119,118,117,101
108,99,98,119,115,121,119,119,119,115,112,101
110,119,98,107,115,102,119,119,119,97,103,101
108,119,110,112,115,115,119,119,119,118,100,101
110,99,110,103,115,115,119,119,119,121,117,101
97,99,98,103,115,115,119,119,119,115,109,101
97,99,98,107,115,115,119,119,119,110,109,101
97,99,98,119,115,115,119,119,119,110,103,101
108,99,98,107,115,115,119,119,119,115,109,101
97,99,98,107,115,115,119,119,119,110,109,101
97,119,110,112,115,115,119,119,119,118,100,101
110,119,98,104,102,115,119,119,119,97,103,101
97,99,98,112,115,121,119,119,119,115,103,101
112,99,110,107,115,115,119,119,119,115,117,112
97,99,98,112,115,121,119,119,119,121,103,101
108,99,98,110,115,115,119,119,119,110,103,101
108,99,98,119,115,115,119,119,119,110,109,101
97,99,98,119,115,115,119,119,119,115,109,101
110,99,110,103,115,115,119,119,119,121,117,101
108,99,98,119,115,115,119,119,119,115,109,101
108,99,98,110,115,115,119,119,119,115,109,101
97,99,98,119,115,115,119,119,119,110,103,101
112,99,110,119,115,115,119,119,119,118,103,112
110,99,110,110,115,115,119,119,119,118,117,101
108,99,98,119,115,115,119,119,119,110,103,101
112,99,110,107,115,115,119,119,119,115,103,112
108,99,98,112,115,121,119,119,119,121,112,101
108,99,98,107,115,115,119,119,119,115,103,101
108,99,98,112,115,121,119,119,119,121,112,101
97,99,98,107,115,115,119,119,119,110,103,101
97,99,98,110,115,115,119,119,119,110,103,101
112,99,110,112,115,115,119,119,119,118,103,112
112,99,110,110,115,115,119,119,119,115,117,112
108,99,98,110,115,115,119,119,119,110,103,101
110,119,98,104,102,115,119,119,119,115,103,101
112,99,110,107,115,115,119,119,119,118,103,112
108,99,98,119,115,121,119,119,119,115,112,101
97,99,98,110,115,115,119,119,119,110,109,101
97,99,98,119,115,115,119,119,119,110,103,101
112,99,110,110,115,115,119,119,119,118,117,112
108,99,98,119,115,115,119,119,119,110,103,101
97,99,98,107,115,115,119,119,119,110,103,101
108,99,98,119,115,121,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,115,103,101
97,99,98,112,115,121,119,119,119,121,103,101
108,99,98,110,115,115,119,119,119,115,109,101
108,119,110,112,115,115,119,119,119,118,100,101
97,99,98,103,115,115,119,119,119,110,109,101
97,99,98,110,115,115,119,119,119,110,109,101
112,99,110,112,115,115,119,119,119,118,117,112
112,99,110,119,115,115,119,119,119,118,103,112
112,99,110,107,115,115,119,119,119,118,117,112
97,99,98,110,115,115,119,119,119,115,109,101
97,99,98,112,115,121,119,119,119,121,103,101
97,99,98,110,115,121,119,119,119,121,103,101
97,119,110,119,115,115,119,119,119,118,100,101
108,99,98,107,115,115,119,119,119,110,103,101
108,99,98,119,115,115,119,119,119,110,109,101
110,99,110,107,115,115,119,119,119,118,117,101
97,99,98,110,115,115,119,119,119,115,109,101
108,99,98,103,115,115,119,119,119,115,103,101
97,99,98,119,115,121,119,119,119,115,112,101
108,99,98,119,115,115,119,119,119,115,109,101
108,119,110,110,115,115,119,119,119,118,100,101
97,119,110,119,115,115,119,119,119,118,100,101
108,99,98,103,115,115,119,119,119,115,109,101
108,119,110,112,115,115,119,119,119,118,100,101
110,99,110,112,115,115,119,119,119,118,117,101
97,119,110,119,115,115,119,119,119,118,100,101
108,99,98,112,115,121,119,119,119,121,103,101
108,99,98,119,115,121,119,119,119,115,103,101
108,99,98,112,115,121,119,119,119,121,112,101
112,99,110,107,115,115,119,119,119,118,103,112
108,99,98,110,115,115,119,119,119,115,109,101
112,99,110,112,115,115,119,119,119,115,117,112
97,99,98,119,115,115,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,115,103,101
97,119,110,119,115,115,119,119,119,118,100,101
112,99,110,119,115,115,119,119,119,118,103,112
97,99,98,110,115,115,119,119,119,115,103,101
110,99,110,110,115,115,119,119,119,121,117,101
97,99,98,103,115,115,119,119,119,110,103,101
110,119,98,107,115,102,119,119,119,115,103,101
97,99,98,110,115,115,119,119,119,115,109,101
108,99,98,103,115,115,119,119,119,115,103,101
108,99,98,107,115,115,119,119,119,110,109,101
108,119,110,119,115,115,119,119,119,118,100,101
108,99,98,107,115,115,119,119,119,115,103,101
97,99,98,112,115,121,119,119,119,115,103,101
110,99,110,103,115,115,119,119,119,121,117,101
110,119,98,112,102,115,119,119,119,97,103,101
110,99,110,110,115,115,119,119,119,118,117,101
108,99,98,112,115,121,119,119,119,115,112,101
108,119,110,110,115,115,119,119,119,118,100,101
97,99,98,110,115,115,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,109,101
112,99,110,112,115,115,119,119,119,118,103,112
108,99,98,119,115,121,119,119,119,121,112,101
97,99,98,119,115,115,119,119,119,115,103,101
97,99,98,112,115,121,119,119,119,115,103,101
97,99,98,103,115,115,119,119,119,110,103,101
97,99,98,119,115,115,119,119,119,115,109,101
108,99,98,107,115,115,119,119,119,115,103,101
110,99,110,110,115,115,119,119,119,118,117,101
108,99,98,112,115,121,119,119,119,121,112,101
110,99,110,112,115,115,119,119,119,121,117,101
108,99,98,107,115,115,119,119,119,110,103,101
97,99,98,112,115,121,119,119,119,121,112,101
108,99,98,119,115,115,119,119,119,110,103,101
97,99,98,107,115,115,119,119,119,115,109,101
110,99,98,110,115,115,103,119,119,118,100,101
97,99,98,110,115,115,119,119,119,115,109,101
108,99,98,112,115,121,119,119,119,115,112,101
97,99,98,107,115,115,119,119,119,110,109,101
108,99,98,107,115,115,119,119,119,110,103,101
108,99,98,119,115,121,119,119,119,121,103,101
108,99,98,110,115,115,119,119,119,110,103,101
97,119,110,119,115,115,119,119,119,118,100,101
110,119,98,110,115,102,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,110,103,101
108,99,98,110,115,115,119,119,119,110,103,101
108,99,98,110,115,121,119,119,119,115,103,101
97,119,110,112,115,115,119,119,119,118,100,101
97,99,98,110,115,115,119,119,119,115,103,101
97,99,98,110,115,121,119,119,119,121,103,101
97,99,98,119,115,121,119,119,119,121,112,101
108,99,98,103,115,115,119,119,119,110,103,101
110,99,98,117,115,115,103,112,119,121,100,101
108,99,98,112,115,121,119,119,119,121,103,101
97,99,98,110,115,115,119,119,119,110,103,101
97,99,98,103,115,115,119,119,119,115,109,101
108,99,98,107,115,115,119,119,119,115,109,101
108,99,98,112,115,121,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,103,101
108,99,98,107,115,115,119,119,119,110,109,101
108,99,98,107,115,115,119,119,119,115,109,101
108,99,98,110,115,115,119,119,119,115,103,101
108,99,98,110,115,121,119,119,119,121,112,101
110,119,98,110,102,102,119,119,119,97,103,101
110,119,98,112,102,102,119,119,119,115,103,101
110,119,98,104,102,115,119,119,119,115,103,101
108,99,98,119,115,115,119,119,119,110,109,101
110,119,98,112,102,115,119,119,119,115,103,101
112,99,110,110,115,115,119,119,119,115,103,112
110,119,98,112,102,102,119,119,119,115,103,101
112,99,110,112,115,115,119,119,119,118,117,112
112,99,110,119,115,115,119,119,119,118,103,112
108,99,98,107,115,115,119,119,119,110,103,101
110,119,98,112,102,102,119,119,119,97,103,101
108,99,98,103,115,115,119,119,119,110,103,101
110,119,98,110,115,115,119,119,119,97,103,101
110,119,98,107,115,115,119,119,119,115,103,101
97,99,98,107,115,115,119,119,119,110,103,101
108,99,98,110,115,115,119,119,119,115,109,101
110,99,98,110,115,115,103,119,119,121,100,101
110,119,98,107,102,102,119,119,119,97,103,101
110,119,98,104,115,102,119,119,119,115,103,101
110,119,98,112,102,115,119,119,119,97,103,101
110,119,98,112,102,102,119,119,119,97,103,101
108,99,98,110,115,115,119,119,119,110,103,101
108,119,110,119,115,115,119,119,119,118,100,101
110,119,98,107,102,115,119,119,119,115,103,101
110,119,98,104,102,115,119,119,119,97,103,101
110,119,98,107,102,115,119,119,119,97,103,101
112,99,110,119,115,115,119,119,119,115,117,112
110,99,110,107,115,115,119,119,119,121,117,101
97,99,98,110,115,115,119,119,119,110,109,101
110,119,98,104,115,115,119,119,119,97,103,101
110,119,98,110,115,102,119,119,119,115,103,101
112,99,110,110,115,115,119,119,119,118,103,112
108,99,98,107,115,115,119,119,119,115,103,101
110,99,110,110,115,115,119,119,119,121,117,101
110,119,98,112,115,102,119,119,119,115,103,101
97,99,98,119,115,115,119,119,119,110,109,101
110,119,98,112,115,115,119,119,119,115,103,101
110,119,98,110,102,115,119,119,119,97,103,101
110,99,98,117,115,115,103,112,119,121,100,101
97,99,98,110,115,115,119,119,119,110,103,101
110,119,98,110,102,102,119,119,119,115,103,101
112,99,110,119,115,115,119,119,119,115,103,112
110,119,98,112,115,115,119,119,119,115,103,101
110,99,98,110,115,115,119,103,119,118,100,101
110,119,98,104,102,102,119,119,119,97,103,101
110,119,98,110,102,102,119,119,119,115,103,101
108,99,98,119,115,115,119,119,119,115,103,101
110,119,98,110,102,115,119,119,119,97,103,101
112,99,110,119,115,115,119,119,119,118,117,112
112,99,110,119,115,115,119,119,119,115,117,112
108,99,98,110,115,115,119,119,119,115,103,101
110,119,98,104,115,102,119,119,119,97,103,101
110,119,98,110,115,102,119,119,119,97,103,101
110,119,98,104,102,115,119,119,119,115,103,101
108,99,98,107,115,115,119,119,119,115,109,101
112,99,110,119,115,115,119,119,119,118,117,112
110,99,98,110,115,115,112,112,119,118,100,101
108,119,110,110,115,115,119,119,119,118,100,101
108,99,98,107,115,115,119,119,119,110,109,101
110,119,98,110,102,102,119,119,119,97,103,101
110,119,98,104,102,115,119,119,119,97,103,101
110,99,98,110,115,115,103,112,119,118,100,101
110,99,98,110,115,115,112,103,119,121,100,101
110,119,98,107,102,102,119,119,119,115,103,101
110,119,98,110,115,115,119,119,119,115,103,101
112,99,110,119,115,115,119,119,119,115,103,112
110,99,98,110,115,115,119,112,119,121,100,101
110,119,98,107,102,102,119,119,119,115,103,101
110,119,98,107,115,102,119,119,119,115,103,101
110,119,98,110,102,115,119,119,119,115,103,101
110,99,98,110,115,115,112,119,119,118,100,101
110,99,98,110,115,115,112,119,119,118,100,101
110,119,98,110,115,102,119,119,119,115,103,101
